Region,Council,Swim site,Date,Time,Enterococci (cfu/100mL),Water temperature (°C),Conductivity (µS/cm),Latitude,Longitude
Sydney City,Randwick City Council,Malabar Beach,19/6/2014,09:25:00,4,17,54200,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,26/6/2014,08:10:00,110,15,54600,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,3/7/2014,11:23:00,33,17,54900,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,8/7/2014,09:09:00,2,15,54800,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,14/7/2014,10:10:00,2,16,55200,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,18/7/2014,09:46:00,25,14,55000,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,24/7/2014,09:11:00,4,16,54600,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,1/8/2014,08:50:00,14,15,54700,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,5/8/2014,11:45:00,31,17,54700,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,11/8/2014,09:30:00,110,15,54600,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,15/8/2014,09:58:00,12,16,54600,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,21/8/2014,08:51:00,10,16,53600,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,27/8/2014,08:55:00,67,17,53200,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,2/9/2014,09:03:00,2,17,53800,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,8/9/2014,11:03:00,44,17,53300,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,12/9/2014,08:30:00,2,16,54100,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,18/9/2014,08:51:00,2,16,54100,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,24/9/2014,08:44:00,9,18,54400,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,30/9/2014,08:44:00,4,18,54100,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,8/10/2014,07:28:00,160,17,52100,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,16/10/2014,08:05:00,11,16,54200,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,21/10/2014,08:46:00,8,17,54000,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,25/10/2014,09:14:00,200,19,54100,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,2/11/2014,10:17:00,7,17,54400,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,10/11/2014,08:08:00,0,19,54300,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,18/11/2014,08:55:00,19,20,54200,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,26/11/2014,09:10:00,12,21,54400,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,4/12/2014,08:08:00,990,20,53800,-33.96436,151.252247
